book,chapter,verse,entity,label
,1,5,the evening,TIME
,1,5,the first day,DATE
,1,7,so,PERSON
,1,8,the evening,TIME
,1,8,the second day,DATE
,1,9,one,CARDINAL
,1,9,so,PERSON
,1,10,Earth,LOC
,1,11,so,PERSON
,1,13,the evening,TIME
,1,13,the third day,DATE
,1,14,the day,DATE
,1,14,seasons,DATE
,1,14,days,DATE
,1,15,so,PERSON
,1,16,two,CARDINAL
,1,16,the day,DATE
,1,18,the day,DATE
,1,18,the night,TIME
,1,19,the evening,TIME
,1,19,the fourth day,DATE
,1,23,the evening,TIME
,1,23,the fifth day,DATE
,1,24,so,PERSON
,1,27,So,PERSON
,1,29,Behold,PERSON
,1,30,so,PERSON
,1,31,the evening,TIME
,1,31,the sixth day,DATE
,2,2,on,PERSON
,2,2,the seventh day,DATE
,2,2,on,PERSON
,2,2,the seventh day,DATE
,2,3,the seventh day,DATE
,2,4,the day,DATE
,2,5,God,PERSON
,2,8,Eden,GPE
,2,8,put,PERSON
,2,10,Eden,LOC
,2,10,four,CARDINAL
,2,11,first,ORDINAL
,2,11,Havilah,ORG
,2,13,second,ORDINAL
,2,13,Ethiopia,GPE
,2,14,third,ORDINAL
,2,14,Assyria,GPE
,2,14,fourth,ORDINAL
,2,14,Euphrates,LOC
,2,15,God,PERSON
,2,15,put,PERSON
,2,15,Eden,LOC
,2,17,the day,DATE
,2,18,God,PERSON
,2,19,Adam,PERSON
,2,19,Adam,PERSON
,2,20,Adam,PERSON
,2,20,Adam,PERSON
,2,21,Adam,PERSON
,2,21,one,CARDINAL
,2,22,God,PERSON
,2,23,Adam,PERSON
,3,1,God,PERSON
,3,1,Yea,PERSON
,3,1,Ye,PERSON
,3,3,Ye,PERSON
,3,4,Ye,PERSON
,3,6,one,CARDINAL
,3,8,Adam,PERSON
,3,9,Adam,PERSON
,3,13,God,PERSON
,3,14,God,PERSON
,3,15,put,PERSON
,3,17,Adam,PERSON
,3,20,Adam,PERSON
,3,20,Eve,PERSON
,3,21,Adam,PERSON
,3,22,God,PERSON
,3,22,Behold,PERSON
,3,22,put,PERSON
,3,23,God,PERSON
,3,23,Eden,LOC
,3,24,So,PERSON
,3,24,Eden Cherubims,PERSON
,4,1,Adam,PERSON
,4,1,Eve,PERSON
,4,1,Cain,PERSON
,4,2,Abel,PERSON
,4,2,Abel,PERSON
,4,2,Cain,PERSON
,4,3,Cain,PERSON
,4,4,Abel,PERSON
,4,4,Abel,PERSON
,4,5,Cain,PERSON
,4,5,Cain,PERSON
,4,6,Cain,PERSON
,4,8,Cain,PERSON
,4,8,Abel,PERSON
,4,8,Cain,PERSON
,4,8,Abel,PERSON
,4,9,Cain,PERSON
,4,9,Abel,PERSON
,4,13,Cain,PERSON
,4,14,this day,DATE
,4,15,Cain,PERSON
,4,15,on,PERSON
,4,15,Cain,PERSON
,4,16,Cain,PERSON
,4,16,on,PERSON
,4,16,Eden,GPE
,4,17,Cain,PERSON
,4,17,Enoch,PERSON
,4,17,Enoch,PERSON
,4,18,Enoch,PERSON
,4,18,Irad,PERSON
,4,18,Irad,PERSON
,4,18,Mehujael,PERSON
,4,18,Mehujael,PERSON
,4,18,Methusael,PERSON
,4,18,Methusael,PERSON
,4,18,Lamech,PERSON
,4,19,Lamech,ORG
,4,19,two,CARDINAL
,4,19,Adah,PERSON
,4,19,Zillah,PERSON
,4,20,Adah,PERSON
,4,20,Jabal,PERSON
,4,21,Jubal,PERSON
,4,22,Zillah,PERSON
,4,22,Tubalcain,PERSON
,4,22,Tubalcain,PERSON
,4,22,Naamah,PERSON
,4,23,Lamech,ORG
,4,23,Adah,PERSON
,4,23,Zillah,PERSON
,4,23,Lamech,ORG
,4,24,Cain,PERSON
,4,24,Lamech seventy,LAW
,4,25,Adam,PERSON
,4,25,Seth,PERSON
,4,25,Abel,PERSON
,4,25,Cain,PERSON
,4,26,Seth,PERSON
,4,26,Enos,PERSON
,5,1,Adam,PERSON
,5,1,the day,DATE
,5,2,Adam,PERSON
,5,2,the day,DATE
,5,3,Adam,PERSON
,5,3,an hundred and thirty years,CARDINAL
,5,3,Seth,PERSON
,5,4,the days,DATE
,5,4,Adam,PERSON
,5,4,Seth,PERSON
,5,4,eight hundred years,DATE
,5,5,Adam,PERSON
,5,5,nine hundred and thirty years,CARDINAL
,5,6,Seth,PERSON
,5,6,an hundred and five years,CARDINAL
,5,6,Enos,PERSON
,5,7,Seth,PERSON
,5,7,Enos,PERSON
,5,7,eight hundred and seven years,CARDINAL
,5,8,Seth,PERSON
,5,8,nine hundred and twelve years,CARDINAL
,5,9,Enos,PERSON
,5,9,ninety years,DATE
,5,9,Cainan,PERSON
,5,10,Enos,PERSON
,5,10,Cainan,PERSON
,5,10,eight hundred and fifteen years,DATE
,5,11,Enos,PERSON
,5,11,nine hundred and,CARDINAL
,5,12,Cainan,PERSON
,5,12,seventy years,DATE
,5,12,Mahalaleel,PERSON
,5,13,Cainan,PERSON
,5,13,Mahalaleel,PERSON
,5,13,eight hundred and forty years,QUANTITY
,5,14,Cainan,LOC
,5,14,nine hundred and ten years,CARDINAL
,5,15,Mahalaleel,PERSON
,5,15,sixty and five years,DATE
,5,15,Jared,PERSON
,5,16,Mahalaleel,PERSON
,5,16,Jared,PERSON
,5,17,Mahalaleel,PERSON
,5,17,eight hundred ninety and,CARDINAL
,5,18,Jared,PERSON
,5,18,Enoch,PERSON
,5,19,Jared,PERSON
,5,19,Enoch,PERSON
,5,19,eight hundred years,DATE
,5,20,Jared,PERSON
,5,20,nine hundred sixty and,CARDINAL
,5,21,Enoch,PERSON
,5,21,sixty and five years,DATE
,5,21,Methuselah,PERSON
,5,22,Enoch,PERSON
,5,22,Methuselah,PERSON
,5,22,three hundred years,DATE
,5,23,Enoch,PERSON
,5,23,three hundred sixty and,CARDINAL
,5,24,Enoch,PERSON
,5,25,Methuselah,PERSON
,5,25,Lamech,PERSON
,5,26,Methuselah,PERSON
,5,26,Lamech,PERSON
,5,27,Methuselah,ORG
,5,27,nine hundred sixty and,CARDINAL
,5,28,Lamech,ORG
,5,29,Noah,PERSON
